Player,Salary,Year
Chris Webber,"$11,000,000 ",2000
Vlade Divac,"$8,837,774 ",2000
Nick Anderson,"$5,051,906 ",2000
Corliss Williamson,"$3,560,000 ",2000
Lawrence Funderburke,"$2,400,000 ",2000
Jason Williams,"$1,879,920 ",2000
Kevin Gamble,"$1,868,750 ",2000
Peja Stojakovic,"$1,310,400 ",2000
Scot Pollard,"$1,000,000 ",2000
Jon Barry,"$800,000 ",2000
Darrick Martin,"$572,500 ",2000
Tyrone Corbin,"$510,000 ",2000
Bill Wennington,"$510,000 ",2000
Tony Delk,"$485,000 ",2000
Ryan Robertson,"$301,875 ",2000
Art Long,"$25,000 ",2000
Chris Webber,"$12,000,000 ",2001
Vlade Divac,"$9,640,000 ",2001
Scot Pollard,"$3,920,000 ",2001
Nick Anderson,"$3,750,000 ",2001
Doug Christie,"$3,140,000 ",2001
Jon Barry,"$2,730,000 ",2001
Lawrence Funderburke,"$2,700,000 ",2001
Bobby Jackson,"$2,250,000 ",2001
Jason Williams,"$2,011,080 ",2001
Peja Stojakovic,"$1,480,000 ",2001
Hedo Turkoglu,"$1,131,240 ",2001
Darrick Martin,"$673,500 ",2001
Roy Rogers,"$523,500 ",2001
Jabari Smith,"$316,969 ",2001
Chris Webber,"$12,750,000 ",2002
Vlade Divac,"$10,444,642 ",2002
Doug Christie,"$5,200,000 ",2002
Peja Stojakovic,"$5,000,000 ",2002
Scot Pollard,"$4,344,187 ",2002
Mike Bibby,"$4,174,893 ",2002
Brent Price,"$3,680,000 ",2002
Lawrence Funderburke,"$3,025,000 ",2002
Bobby Jackson,"$2,475,000 ",2002
Mateen Cleaves,"$1,347,480 ",2002
Hedo Turkoglu,"$1,216,080 ",2002
Gerald Wallace,"$797,880 ",2002
Jabari Smith,"$465,850 ",2002
Chris Webber,"$14,343,750 ",2003
Vlade Divac,"$11,248,076 ",2003
Mike Bibby,"$8,500,000 ",2003
Doug Christie,"$6,250,000 ",2003
