,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Jack Twyman,25.0,75,,3023.0,870,2063,0.422,,,,870,2063,0.422,0.422,598,762,0.785,,,664,260,,,,275,2338,1960
1,1,2.0,Bucky Bockhorn,26.0,75,,2103.0,323,812,0.398,,,,323,812,0.398,0.398,145,194,0.747,,,382,256,,,,249,791,1960
2,2,3.0,Phil Jordon,26.0,75,,2066.0,381,970,0.393,,,,381,970,0.393,0.393,242,338,0.716,,,624,207,,,,227,1004,1960
3,3,4.0,Win Wilfong,26.0,72,,1992.0,283,764,0.37,,,,283,764,0.37,0.37,161,207,0.778,,,352,265,,,,229,727,1960
4,4,5.0,Med Park,26.0,74,,1849.0,226,582,0.388,,,,226,582,0.388,0.388,189,260,0.727,,,301,214,,,,180,641,1960
5,5,6.0,Hub Reed,23.0,69,,1803.0,269,598,0.45,,,,269,598,0.45,0.45,134,184,0.728,,,612,69,,,,228,672,1960
6,6,7.0,Wayne Embry,22.0,73,,1594.0,303,690,0.439,,,,303,690,0.439,0.439,167,325,0.514,,,692,83,,,,226,773,1960
7,7,8.0,Phil Rollins,26.0,72,,1235.0,158,386,0.409,,,,158,386,0.409,0.409,77,127,0.606,,,180,233,,,,150,393,1960
8,8,9.0,Dave Piontek,25.0,52,,1111.0,217,531,0.409,,,,217,531,0.409,0.409,84,122,0.689,,,341,84,,,,143,518,1960
9,9,10.0,Larry Staverman,23.0,49,,479.0,70,149,0.47,,,,70,149,0.47,0.47,47,64,0.734,,,180,36,,,,98,187,1960
10,10,11.0,Jim Palmer,26.0,20,,400.0,71,155,0.458,,,,71,155,0.458,0.458,39,55,0.709,,,111,17,,,,65,181,1960
11,11,12.0,Dave Gambee,22.0,19,,211.0,36,93,0.387,,,,36,93,0.387,0.387,23,35,0.657,,,74,9,,,,21,95,1960
12,12,13.0,Wayne Stevens,23.0,8,,49.0,3,19,0.158,,,,3,19,0.158,0.158,7,10,0.7,,,16,4,,,,4,13,1960
13,0,1.0,Oscar Robertson,22.0,71,,3032.0,756,1600,0.473,,,,756,1600,0.473,0.473,653,794,0.822,,,716,690,,,,219,2165,1961
14,1,2.0,Jack Twyman,26.0,79,,2920.0,796,1632,0.488,,,,796,1632,0.488,0.488,405,554,0.731,,,672,225,,,,279,1997,1961
15,2,3.0,Bucky Bockhorn,27.0,79,,2669.0,420,1059,0.397,,,,420,1059,0.397,0.397,152,208,0.731,,,434,338,,,,282,992,1961
16,3,4.0,Wayne Embry,23.0,79,,2233.0,458,1015,0.451,,,,458,1015,0.451,0.451,221,331,0.668,,,864,127,,,,286,1137,1961
17,4,5.0,Bob Boozer,23.0,79,,1573.0,250,603,0.415,,,,250,603,0.415,0.415,166,247,0.672,,,488,109,,,,193,666,1961
18,5,6.0,Mike Farmer,24.0,57,,1295.0,180,460,0.391,,,,180,460,0.391,0.391,69,94,0.734,,,378,81,,,,128,429,1961
19,6,7.0,Hub Reed,24.0,75,,1216.0,156,364,0.429,,,,156,364,0.429,0.429,85,122,0.697,,,367,69,,,,199,397,1961
20,7,8.0,Ralph Davis,22.0,73,,1210.0,181,451,0.401,,,,181,451,0.401,0.401,34,52,0.654,,,86,177,,,,127,396,1961
21,8,9.0,Phil Jordon,27.0,48,,1140.0,202,511,0.395,,,,202,511,0.395,0.395,117,160,0.731,,,424,107,,,,150,521,1961
22,9,10.0,Larry Staverman,24.0,66,,944.0,111,249,0.446,,,,111,249,0.446,0.446,79,93,0.849,,,287,86,,,,164,301,1961
23,10,11.0,Win Wilfong,27.0,62,,717.0,106,305,0.348,,,,106,305,0.348,0.348,72,89,0.809,,,147,87,,,,119,284,1961
24,11,12.0,Phil Rollins,27.0,14,,86.0,10,32,0.313,,,,10,32,0.313,0.313,5,7,0.714,,,9,11,,,,13,25,1961
25,0,1.0,Oscar Robertson,23.0,79,,3503.0,866,1810,0.478,,,,866,1810,0.478,0.478,700,872,0.803,,,985,899,,,,258,2432,1962
26,1,2.0,Bucky Bockhorn,28.0,80,,3062.0,531,1234,0.43,,,,531,1234,0.43,0.43,198,251,0.789,,,376,366,,,,280,1260,1962
27,2,3.0,Jack Twyman,27.0,80,,2991.0,739,1542,0.479,,,,739,1542,0.479,0.479,353,435,0.811,,,638,215,,,,323,1831,1962
28,3,4.0,Wayne Embry,24.0,75,,2623.0,564,1210,0.466,,,,564,1210,0.466,0.466,356,516,0.69,,,977,182,,,,286,1484,1962
29,4,5.0,Bob Boozer,24.0,79,,2488.0,410,936,0.438,,,,410,936,0.438,0.438,263,372,0.707,,,804,130,,,,275,1083,1962
30,5,6.0,Adrian Smith,25.0,80,,1462.0,202,499,0.405,,,,202,499,0.405,0.405,172,222,0.775,,,151,167,,,,101,576,1962
31,6,7.0,Hub Reed,25.0,80,,1446.0,203,460,0.441,,,,203,460,0.441,0.441,60,82,0.732,,,440,53,,,,267,466,1962
32,7,8.0,Joe Buckhalter,24.0,63,,728.0,153,334,0.458,,,,153,334,0.458,0.458,67,108,0.62,,,262,43,,,,123,373,1962
