,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,75.0,,3210,7786,0.412,1913,2672,0.716,,,5251,1747,2097,8333,1960,,,,,,,,,
1,Team/G,,,42.8,103.8,0.412,25.5,35.6,0.716,,,70.0,23.3,28.0,111.1,1960,,,,,,,,,
2,Lg Rank,,,5,7,5.0,6,5,7.0,,,7,4,8,7,1960,,,,,,,,,
3,Year/Year,,,8.0%,1.8%,0.023,7.2%,8.0%,-0.005,,,3.2%,22.5%,8.5%,7.8%,1960,,,,,,,,,
4,Opponent,75.0,,,,,,,,,,,,,8807,1960,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,117.4,1960,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,7,1960,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,4.9%,1960,,,,,,,,,
0,Team,79.0,,3626,8281,0.438,2060,2761,0.746,,,5581,2107,2159,9312,1961,,,,,,,,,
1,Team/G,,,45.9,104.8,0.438,26.1,34.9,0.746,,,70.6,26.7,27.3,117.9,1961,,,,,,,,,
2,Lg Rank,,,4,8,1.0,7,8,3.0,,,7,2,6,6,1961,,,,,,,,,
3,Year/Year,,,7.2%,1.0%,0.026,2.2%,-1.9%,0.03,,,0.9%,14.5%,-2.3%,6.1%,1961,,,,,,,,,
4,Opponent,79.0,,,,,,,,,,,,,9585,1961,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,121.3,1961,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,8,1961,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,3.3%,1961,,,,,,,,,
0,Team,80.0,,3806,8414,0.452,2233,2969,0.752,,,5665,2154,2081,9845,1962,,,,,,,,,
1,Team/G,,,47.6,105.2,0.452,27.9,37.1,0.752,,,70.8,26.9,26.0,123.1,1962,,,,,,,,,
2,Lg Rank,,,3,6,1.0,4,4,3.0,,,5,1,7,2,1962,,,,,,,,,
3,Year/Year,,,3.7%,0.3%,0.014,7.0%,6.2%,0.006,,,0.2%,1.0%,-4.8%,4.4%,1962,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,9704,1962,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,121.3,1962,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,7,1962,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-0.0%,1962,,,,,,,,,
0,Team,80.0,,3672,7998,0.459,2183,2923,0.747,,,5561,1931,2203,9527,1963,,,,,,,,,
1,Team/G,,,45.9,100.0,0.459,27.3,36.5,0.747,,,69.5,24.1,27.5,119.1,1963,,,,,,,,,
2,Lg Rank,,,4,6,1.0,3,4,3.0,,,2,2,8,2,1963,,,,,,,,,
3,Year/Year,,,-3.5%,-4.9%,0.007,-2.2%,-1.5%,-0.005,,,-1.8%,-10.4%,5.9%,-3.2%,1963,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,9426,1963,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,117.8,1963,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,7,1963,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-2.9%,1963,,,,,,,,,
0,Team,80.0,,3516,7761,0.453,2146,2828,0.759,,,5400,1916,2139,9178,1964,,,,,,,,,
1,Team/G,,,44.0,97.0,0.453,26.8,35.4,0.759,,,67.5,24.0,26.7,114.7,1964,,,,,,,,,
2,Lg Rank,,,2,8,1.0,3,5,3.0,,,4,1,5,1,1964,,,,,,,,,
3,Year/Year,,,-4.2%,-3.0%,-0.006,-1.7%,-3.3%,0.012,,,-2.9%,-0.8%,-2.9%,-3.7%,1964,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,8772,1964,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,109.7,1964,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,5,1964,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-6.9%,1964,,,,,,,,,
0,Team,80.0,19325.0,3482,7797,0.447,2170,2866,0.757,,,5387,1843,1992,9134,1965,,,,,,,,,
1,Team/G,,241.6,43.5,97.5,0.447,27.1,35.8,0.757,,,67.3,23.0,24.9,114.2,1965,,,,,,,,,
2,Lg Rank,,5.0,2,6,1.0,4,5,2.0,,,4,1,1,1,1965,,,,,,,,,
3,Year/Year,,,-1.0%,0.5%,-0.006,1.1%,1.3%,-0.002,,,-0.2%,-3.8%,-6.9%,-0.5%,1965,,,,,,,,,
4,Opponent,80.0,19325.0,,,,,,,,,,,,8952,1965,,,,,,,,,
5,Opponent/G,,241.6,,,,,,,,,,,,111.9,1965,,,,,,,,,
6,Lg Rank,,5.0,,,,,,,,,,,,5,1965,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,2.1%,1965,,,,,,,,,
0,Team,80.0,19275,3610,8123,0.444,2204,2906,0.758,,,5559,1818,2033,9424,1966,,,,,,,,,
1,Team/G,,240.9,45.1,101.5,0.444,27.6,36.3,0.758,,,69.5,22.7,25.4,117.8,1966,,,,,,,,,
2,Lg Rank,,1,2,6,3.0,4,5,2.0,,,4,6,3,3,1966,,,,,,,,,
3,Year/Year,,-0.3%,3.7%,4.2%,-0.002,1.6%,1.4%,0.001,,,3.2%,-1.4%,2.1%,3.2%,1966,,,,,,,,,
4,Opponent,80.0,19275,,,,,,,,,,,,9331,1966,,,,,,,,,
5,Opponent/G,,240.9,,,,,,,,,,,,116.6,1966,,,,,,,,,
6,Lg Rank,,1,,,,,,,,,,,,5,1966,,,,,,,,,
7,Year/Year,,-0.3%,,,,,,,,,,,,4.2%,1966,,,,,,,,,
0,Team,81.0,19515,3654,8137,0.449,2179,2806,0.777,,,5198,1858,2073,9487,1967,,,,,,,,,
1,Team/G,,240.9,45.1,100.5,0.449,26.9,34.6,0.777,,,64.2,22.9,25.6,117.1,1967,,,,,,,,,
2,Lg Rank,,7,6,7,3.0,5,7,1.0,,,9,5,2,5,1967,,,,,,,,,
3,Year/Year,,-0.0%,-0.0%,-1.1%,0.005,-2.4%,-4.6%,0.018,,,-7.6%,0.9%,0.7%,-0.6%,1967,,,,,,,,,
4,Opponent,81.0,19515,,,,,,,,,,,,9508,1967,,,,,,,,,
5,Opponent/G,,240.9,,,,,,,,,,,,117.4,1967,,,,,,,,,
6,Lg Rank,,7,,,,,,,,,,,,6,1967,,,,,,,,,
7,Year/Year,,-0.0%,,,,,,,,,,,,0.6%,1967,,,,,,,,,
0,Team,82.0,19805,3679,7864,0.468,2204,2892,0.762,,,5129,2048,2016,9562,1968,,,,,,,,,
1,Team/G,,241.5,44.9,95.9,0.468,26.9,35.3,0.762,,,62.5,25.0,24.6,116.6,1968,,,,,,,,,
2,Lg Rank,,4,8,11,3.0,6,11,1.0,,,10,2,2,7,1968,,,,,,,,,
3,Year/Year,,0.2%,-0.5%,-4.5%,0.019,-0.1%,1.8%,-0.014,,,-2.5%,8.9%,-3.9%,-0.4%,1968,,,,,,,,,
4,Opponent,82.0,19805,,,,,,,,,,,,9631,1968,,,,,,,,,
5,Opponent/G,,241.5,,,,,,,,,,,,117.5,1968,,,,,,,,,
6,Lg Rank,,4,,,,,,,,,,,,7,1968,,,,,,,,,
7,Year/Year,,0.2%,,,,,,,,,,,,0.1%,1968,,,,,,,,,
0,Team,82.0,19805,3565,7742,0.46,2262,3012,0.751,,,4525,1983,2031,9392,1969,,,,,,,,,
1,Team/G,,241.5,43.5,94.4,0.46,27.6,36.7,0.751,,,55.2,24.2,24.8,114.5,1969,,,,,,,,,
2,Lg Rank,,5,9,13,2.0,1,5,1.0,,,9,4,2,4,1969,,,,,,,,,
3,Year/Year,,0.0%,-3.1%,-1.6%,-0.007,2.6%,4.1%,-0.011,,,-11.8%,-3.2%,0.7%,-1.8%,1969,,,,,,,,,
4,Opponent,82.0,19805,,,,,,,,,,,,9476,1969,,,,,,,,,
5,Opponent/G,,241.5,,,,,,,,,,,,115.6,1969,,,,,,,,,
6,Lg Rank,,5,,,,,,,,,,,,11,1969,,,,,,,,,
7,Year/Year,,0.0%,,,,,,,,,,,,-1.6%,1969,,,,,,,,,
0,Team,82.0,19880,3767,8271,0.455,2082,2841,0.733,,,4163,1992,2215,9616,1970,,,,,,,,,
1,Team/G,,242.4,45.9,100.9,0.455,25.4,34.6,0.733,,,50.8,24.3,27.0,117.3,1970,,,,,,,,,
2,Lg Rank,,2,7,4,10.0,7,6,13.0,,,11,10,13,7,1970,,,,,,,,,
3,Year/Year,,0.4%,5.7%,6.8%,-0.005,-8.0%,-5.7%,-0.018,,,-8.0%,0.5%,9.1%,2.4%,1970,,,,,,,,,
4,Opponent,82.0,19880,,,,,,,,,,,,9858,1970,,,,,,,,,
5,Opponent/G,,242.4,,,,,,,,,,,,120.2,1970,,,,,,,,,
6,Lg Rank,,2,,,,,,,,,,,,12,1970,,,,,,,,,
7,Year/Year,,0.4%,,,,,,,,,,,,4.0%,1970,,,,,,,,,
0,Team,82.0,19830,3805,8374,0.454,1901,2622,0.725,,,4151,2022,2126,9511,1971,,,,,,,,,
1,Team/G,,241.8,46.4,102.1,0.454,23.2,32.0,0.725,,,50.6,24.7,25.9,116.0,1971,,,,,,,,,
2,Lg Rank,,2,2,4,5.0,11,11,14.0,,,14,8,12,3,1971,,,,,,,,,
3,Year/Year,,-0.3%,1.0%,1.2%,-0.001,-8.7%,-7.7%,-0.008,,,-0.3%,1.5%,-4.0%,-1.1%,1971,,,,,,,,,
4,Opponent,82.0,19830,3795,8130,0.467,2184,2991,0.73,,,4675,2050,1979,9774,1971,,,,,,,,,
5,Opponent/G,,241.8,46.3,99.1,0.467,26.6,36.5,0.73,,,57.0,25.0,24.1,119.2,1971,,,,,,,,,
6,Lg Rank,,2,13,10,15.0,13,14,1.0,,,16,12,9,16,1971,,,,,,,,,
7,Year/Year,,-0.3%,,,,,,,,,,,,-0.9%,1971,,,,,,,,,
0,Team,82.0,19780,3444,7496,0.459,1948,2578,0.756,,,3754,2020,2079,8836,1972,,,,,,,,,
1,Team/G,,241.2,42.0,91.4,0.459,23.8,31.4,0.756,,,45.8,24.6,25.4,107.8,1972,,,,,,,,,
2,Lg Rank,,6,16,16,5.0,8,8,7.0,,,17,7,15,12,1972,,,,,,,,,
3,Year/Year,,-0.3%,-9.5%,-10.5%,0.005,2.5%,-1.7%,0.031,,,-9.6%,-0.1%,-2.2%,-7.1%,1972,,,,,,,,,
4,Opponent,82.0,19780,3537,7588,0.466,2093,2829,0.74,,,4228,2028,1971,9167,1972,,,,,,,,,
5,Opponent/G,,241.2,43.1,92.5,0.466,25.5,34.5,0.74,,,51.6,24.7,24.0,111.8,1972,,,,,,,,,
6,Lg Rank,,6,6,5,14.0,15,15,3.0,,,10,13,7,13,1972,,,,,,,,,
7,Year/Year,,-0.3%,-6.8%,-6.7%,-0.001,-4.2%,-5.4%,0.01,,,-9.6%,-1.1%,-0.4%,-6.2%,1972,,,,,,,,,
0,Team,82.0,19780,3621,7581,0.478,1580,2036,0.776,,,3628,2118,2054,8822,1973,,,,,,,,,
1,Team/G,,241.2,44.2,92.5,0.478,19.3,24.8,0.776,,,44.2,25.8,25.0,107.6,1973,,,,,,,,,
2,Lg Rank,,4,10,17,3.0,9,12,6.0,,,17,6,17,8,1973,,,,,,,,,
3,Year/Year,,0.0%,5.1%,1.1%,0.018,-18.9%,-21.0%,0.02,,,-3.4%,4.9%,-1.2%,-0.2%,1973,,,,,,,,,
4,Opponent,82.0,19780,3698,7640,0.484,1665,2174,0.766,,,3961,1885,1816,9061,1973,,,,,,,,,
5,Opponent/G,,241.2,45.1,93.2,0.484,20.3,26.5,0.766,,,48.3,23.0,22.1,110.5,1973,,,,,,,,,
6,Lg Rank,,4,10,3,17.0,10,10,14.0,,,4,3,13,11,1973,,,,,,,,,
7,Year/Year,,0.0%,4.6%,0.7%,0.018,-20.4%,-23.2%,0.026,,,-6.3%,-7.1%,-7.9%,-1.2%,1973,,,,,,,,,
0,Team,82.0,19705,3369,7342,0.459,1628,2104,0.774,1112.0,2554.0,3666,1744,1916,8366,1974,796.0,384.0,1791.0,,,,,,
1,Team/G,,240.3,41.1,89.5,0.459,19.9,25.7,0.774,13.6,31.1,44.7,21.3,23.4,102.0,1974,9.7,4.7,21.8,,,,,,
2,Lg Rank,,16,15,17,10.0,10,9,6.0,14.0,16.0,16,17,8,13,1974,2.0,8.0,12.0,,,,,,
3,Year/Year,,-0.4%,-7.0%,-3.2%,-0.019,3.0%,3.3%,-0.002,,,1.0%,-17.7%,-6.7%,-5.2%,1974,,,,,,,,,
4,Opponent,82.0,19705,3580,7514,0.476,1512,1950,0.775,1210.0,2650.0,3860,1916,1907,8672,1974,723.0,373.0,1765.0,,,,,,
5,Opponent/G,,240.3,43.7,91.6,0.476,18.4,23.8,0.775,14.8,32.3,47.1,23.4,23.3,105.8,1974,8.8,4.5,21.5,,,,,,
6,Lg Rank,,16,11,6,15.0,7,5,11.0,11.0,5.0,6,5,11,8,1974,9.0,7.0,6.0,,,,,,
7,Year/Year,,-0.4%,-3.2%,-1.6%,-0.008,-9.2%,-10.3%,0.01,,,-2.5%,1.6%,5.0%,-4.3%,1974,,,,,,,,,
0,Team,82.0,19730,3257,7258,0.449,1797,2190,0.821,991,2745,3736,1853,1968,8311,1975,724,347,1542,,,,,,
1,Team/G,,240.6,39.7,88.5,0.449,21.9,26.7,0.821,12.1,33.5,45.6,22.6,24.0,101.4,1975,8.8,4.2,18.8,,,,,,
2,Lg Rank,,14,17,14,13.0,1,6,1.0,17,8,13,14,9,11,1975,9,12,5,,,,,,
3,Year/Year,,0.1%,-3.3%,-1.1%,-0.01,10.4%,4.1%,0.047,-10.9%,7.5%,1.9%,6.3%,2.7%,-0.7%,1975,-9.0%,-9.6%,-13.9%,,,,,,
4,Opponent,82.0,19730,3410,7400,0.461,1515,1972,0.768,1060,2812,3872,1840,2029,8335,1975,606,312,1605,,,,,,
5,Opponent/G,,240.6,41.6,90.2,0.461,18.5,24.0,0.768,12.9,34.3,47.2,22.4,24.7,101.6,1975,7.4,3.8,19.6,,,,,,
