,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Bob Verga,22.0,31,,41.5,9.0,20.4,0.442,0.4,1.6,0.26,8.6,18.8,0.458,0.453,5.2,7.0,0.743,,,4.5,2.4,,,3.1,3.0,23.7,1968
1,1,2,Charlie Beasley,22.0,78,,38.1,4.8,9.7,0.493,0.0,0.2,0.231,4.8,9.6,0.498,0.495,3.7,4.2,0.872,,,3.8,3.7,,,2.4,2.6,13.3,1968
2,2,3,Maurice McHartley,25.0,58,,37.5,5.7,14.2,0.4,0.1,0.3,0.176,5.6,13.9,0.405,0.402,3.9,5.6,0.694,,,4.7,4.0,,,4.2,3.7,15.3,1968
3,3,4,John Beasley,23.0,77,,36.9,8.1,16.4,0.492,0.0,0.0,0.0,8.1,16.4,0.493,0.492,3.5,4.2,0.842,3.6,9.1,12.8,1.5,,,1.4,3.2,19.7,1968
4,4,5,Cincy Powell,25.0,77,,32.8,6.9,14.1,0.489,0.0,0.1,0.25,6.9,14.1,0.49,0.49,4.5,6.4,0.692,,,9.0,1.4,,,2.5,3.3,18.3,1968
5,5,6,Cliff Hagan,36.0,56,,31.0,6.6,13.6,0.489,0.0,0.1,0.0,6.6,13.5,0.491,0.489,4.9,6.3,0.789,,,6.0,4.9,,,3.9,3.6,18.2,1968
6,6,7,Bobby Wilson,,69,,22.6,3.3,8.4,0.389,0.0,0.0,0.5,3.3,8.4,0.389,0.39,2.4,3.8,0.615,,,6.5,0.8,,,1.8,3.0,8.9,1968
7,7,8,Gene Wiley,30.0,1,,21.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,3.0,0.333,,,3.0,0.0,,,2.0,3.0,1.0,1968
8,8,9,Elton McGriff,25.0,20,,18.5,2.5,4.5,0.551,0.0,0.0,,2.5,4.5,0.551,0.551,1.7,3.1,0.532,,,5.7,0.1,,,1.1,3.3,6.6,1968
9,9,10,Rich Peek,24.0,51,,14.9,2.0,4.1,0.483,0.0,0.0,,2.0,4.1,0.483,0.483,0.7,1.3,0.538,,,3.9,0.4,,,1.0,1.8,4.6,1968
