Player,Salary,Year
David Robinson,"$11,592,683 ",2000
Sean Elliott,"$5,433,333 ",2000
Tim Duncan,"$3,858,240 ",2000
Avery Johnson,"$3,200,000 ",2000
Antonio Daniels,"$2,794,920 ",2000
Samaki Walker,"$2,716,667 ",2000
Jaren Jackson,"$2,483,333 ",2000
Malik Rose,"$2,285,000 ",2000
Terry Porter,"$2,000,000 ",2000
Steve Kerr,"$1,968,750 ",2000
Mario Elie,"$1,925,000 ",2000
Jerome Kersey,"$1,000,000 ",2000
Felton Spencer,"$510,000 ",2000
Andrew Gaze,"$460,000 ",2000
Derrick Dial,"$301,875 ",2000
David Robinson,"$14,700,000 ",2001
Tim Duncan,"$9,660,000 ",2001
Avery Johnson,"$8,000,000 ",2001
Sean Elliott,"$5,300,000 ",2001
Samaki Walker,"$2,960,000 ",2001
Antonio Daniels,"$2,820,000 ",2001
Malik Rose,"$2,570,000 ",2001
Derek Anderson,"$2,250,000 ",2001
Steve Kerr,"$2,200,000 ",2001
Terry Porter,"$2,200,000 ",2001
Jaren Jackson,"$1,750,000 ",2001
Danny Ferry,"$1,200,000 ",2001
Shawnelle Scott,"$548,500 ",2001
Derrick Dial,"$423,500 ",2001
Chris Carrawell,"$316,969 ",2001
Ira Newble,"$316,969 ",2001
Tim Duncan,"$10,865,250 ",2002
David Robinson,"$9,500,000 ",2002
Steve Smith,"$9,000,000 ",2002
Jaren Jackson,"$3,020,834 ",2002
Antonio Daniels,"$3,000,000 ",2002
Terry Porter,"$2,400,000 ",2002
Malik Rose,"$2,285,000 ",2002
Mark Bryant,"$1,000,000 ",2002
Danny Ferry,"$1,000,000 ",2002
Tony Parker,"$744,480 ",2002
Bruce Bowen,"$715,850 ",2002
Cherokee Parks,"$715,850 ",2002
Stephen Jackson,"$590,850 ",2002
Charles Smith,"$540,850 ",2002
Amal McCaskill,"$465,850 ",2002
Tim Duncan,"$12,072,500 ",2003
David Robinson,"$10,500,000 ",2003
Steve Smith,"$9,900,000 ",2003
Danny Ferry,"$4,546,000 ",2003
Malik Rose,"$4,370,000 ",2003
Bruce Bowen,"$3,550,000 ",2003
Steve Kerr,"$2,625,000 ",2003
Manu Ginobili,"$1,325,000 ",2003
Speedy Claxton,"$1,076,400 ",2003
Kevin Willis,"$1,030,000 ",2003
Tony Parker,"$800,400 ",2003
Stephen Jackson,"$699,935 ",2003
Mengke Bateer,"$512,453 ",2003
Anthony Goldwire,"$139,925 ",2003
Devin Brown,"$34,946 ",2003
Tim Duncan,"$12,676,125 ",2004
Ron Mercer,"$6,750,000 ",2004
Rasho Nesterovic,"$5,600,000 ",2004
Malik Rose,"$4,916,250 ",2004
Robert Horry,"$4,500,000 ",2004
Bruce Bowen,"$3,650,000 ",2004
Hedo Turkoglu,"$1,995,611 ",2004
Manu Ginobili,"$1,457,500 ",2004
Kevin Willis,"$1,070,000 ",2004
Tony Parker,"$856,200 ",2004
Anthony Carter,"$751,179 ",2004
Jason Hart,"$638,679 ",2004
Sean Marks,"$596,295 ",2004
Devin Brown,"$563,679 ",2004
Alex Garcia,"$366,931 ",2004
Shane Heal,"$75,615 ",2004
Tim Duncan,"$14,260,641 ",2005
Manu Ginobili,"$6,603,500 ",2005
Rasho Nesterovic,"$6,160,000 ",2005
Malik Rose,"$5,462,500 ",2005
Brent Barry,"$4,264,900 ",2005
Bruce Bowen,"$3,000,000 ",2005
Tony Parker,"$1,545,441 ",2005
Robert Horry,"$1,100,000 ",2005
Tony Massenburg,"$1,100,000 ",2005
Beno Udrih,"$841,680 ",2005
Sean Marks,"$745,046 ",2005
Mike Wilks,"$720,046 ",2005
Devin Brown,"$695,046 ",2005
Linton Johnson,"$620,046 ",2005
Romain Sato,"$385,277 ",2005
Tim Duncan,"$15,845,156 ",2006
Tony Parker,"$8,400,000 ",2006
Manu Ginobili,"$7,428,937 ",2006
Rasho Nesterovic,"$6,720,000 ",2006
Nazr Mohammed,"$5,500,000 ",2006
Brent Barry,"$4,691,390 ",2006
Bruce Bowen,"$3,375,000 ",2006
Robert Horry,"$3,000,000 ",2006
Michael Finley,"$2,675,000 ",2006
Fabricio Oberto,"$2,325,000 ",2006
Nick Van Exel,"$1,138,500 ",2006
Beno Udrih,"$904,800 ",2006
Sean Marks,"$835,810 ",2006
Romain Sato,"$682,051 ",2006
Melvin Sanders,"$24,315 ",2006
Alex Scales,"$24,315 ",2006
Tim Duncan,"$17,429,672 ",2007
Tony Parker,"$9,450,000 ",2007
Manu Ginobili,"$8,254,375 ",2007
Brent Barry,"$5,117,880 ",2007
Bruce Bowen,"$3,750,000 ",2007
Robert Horry,"$3,315,000 ",2007
Melvin Ely,"$3,303,813 ",2007
Francisco Elson,"$3,000,000 ",2007
Michael Finley,"$2,889,000 ",2007
Fabricio Oberto,"$2,500,000 ",2007
Jackie Butler,"$2,200,000 ",2007
Matt Bonner,"$2,000,000 ",2007
Jacque Vaughn,"$1,071,225 ",2007
Beno Udrih,"$967,920 ",2007
James White,"$405,435 ",2007
