,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Charlie Beasley,22.0,78,,2969,374,758,0.493,3.0,13.0,0.231,371,745,0.498,0.495,285,327,0.872,,,295,290,,,189.0,202,1036,1968
1,1,2.0,John Beasley,23.0,77,,2840,622,1264,0.492,0.0,2.0,0.0,622,1262,0.493,0.492,271,322,0.842,278.0,704.0,982,112,,,107.0,245,1515,1968
2,2,3.0,Cincy Powell,25.0,77,,2524,533,1089,0.489,1.0,4.0,0.25,532,1085,0.49,0.49,343,496,0.692,,,694,106,,,190.0,254,1410,1968
3,3,4.0,Maurice McHartley,25.0,58,,2175,330,825,0.4,3.0,17.0,0.176,327,808,0.405,0.402,225,324,0.694,,,273,230,,,241.0,216,888,1968
4,4,5.0,Cliff Hagan,36.0,56,,1737,371,759,0.489,0.0,3.0,0.0,371,756,0.491,0.489,277,351,0.789,,,334,276,,,216.0,202,1019,1968
5,5,6.0,Bobby Wilson,,69,,1562,226,581,0.389,1.0,2.0,0.5,225,579,0.389,0.39,163,265,0.615,,,450,55,,,127.0,209,616,1968
6,6,7.0,Bob Verga,22.0,31,,1285,280,633,0.442,13.0,50.0,0.26,267,583,0.458,0.453,162,218,0.743,,,138,74,,,95.0,93,735,1968
7,7,8.0,Riney Lochmann,23.0,63,,808,108,285,0.379,1.0,4.0,0.25,107,281,0.381,0.381,49,79,0.62,,,166,44,,,40.0,113,266,1968
8,8,9.0,Rich Peek,24.0,51,,759,101,209,0.483,0.0,0.0,,101,209,0.483,0.483,35,65,0.538,,,197,22,,,49.0,94,237,1968
9,9,10.0,Carroll Hooser,23.0,56,,720,128,297,0.431,1.0,1.0,1.0,127,296,0.429,0.433,59,83,0.711,,,216,29,,,49.0,139,316,1968
10,10,11.0,Dennis Holman,22.0,46,,554,55,153,0.359,4.0,9.0,0.444,51,144,0.354,0.373,62,103,0.602,,,78,73,,,40.0,85,176,1968
11,11,12.0,Jim Burns,22.0,33,,392,52,137,0.38,0.0,2.0,0.0,52,135,0.385,0.38,51,89,0.573,,,60,24,,,42.0,52,155,1968
12,12,13.0,Elton McGriff,25.0,20,,369,49,89,0.551,0.0,0.0,,49,89,0.551,0.551,33,62,0.532,,,114,2,,,21.0,65,131,1968
13,13,14.0,Rubin Russell,23.0,16,,157,27,80,0.338,2.0,13.0,0.154,25,67,0.373,0.35,9,18,0.5,,,23,6,,,23.0,18,65,1968
14,14,15.0,Mike Dabich,25.0,3,,23,4,7,0.571,0.0,0.0,,4,7,0.571,0.571,2,5,0.4,,,7,1,,,0.0,7,10,1968
15,15,16.0,Gene Wiley,30.0,1,,21,0,1,0.0,0.0,0.0,,0,1,0.0,0.0,1,3,0.333,,,3,0,,,2.0,3,1,1968
16,0,1.0,John Beasley,24.0,78,,3050,585,1200,0.488,3.0,10.0,0.3,582,1190,0.489,0.489,332,402,0.826,248.0,582.0,830,110,,,136.0,259,1505,1969
17,1,2.0,Ron Boone,22.0,78,,2682,520,1197,0.434,2.0,15.0,0.133,518,1182,0.438,0.435,436,537,0.812,155.0,239.0,394,279,,,355.0,303,1478,1969
18,2,3.0,Cincy Powell,26.0,75,,2573,555,1179,0.471,2.0,7.0,0.286,553,1172,0.472,0.472,342,470,0.728,203.0,468.0,671,173,,,212.0,275,1454,1969
19,3,4.0,Glen Combs,22.0,72,,2241,364,868,0.419,84.0,233.0,0.361,280,635,0.441,0.468,300,394,0.761,63.0,132.0,195,165,,,158.0,218,1112,1969
20,4,5.0,John Smith,24.0,77,,2172,246,623,0.395,0.0,0.0,,246,623,0.395,0.395,116,214,0.542,271.0,538.0,809,58,,,117.0,328,608,1969
21,5,6.0,Charlie Beasley,23.0,75,,1719,220,506,0.435,1.0,15.0,0.067,219,491,0.446,0.436,161,192,0.839,22.0,136.0,158,208,,,129.0,158,602,1969
22,6,7.0,Riney Lochmann,24.0,60,,950,115,279,0.412,1.0,4.0,0.25,114,275,0.415,0.414,60,97,0.619,75.0,129.0,204,59,,,50.0,138,291,1969
