,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
0,Team,78.0,18895.0,3260.0,7167.0,0.455,29.0,120.0,0.242,3231.0,7047.0,0.458,2027.0,2810.0,0.721,,,4030.0,1344.0,1431.0,1997.0,8576.0,1968,,
1,Team/G,,242.2,41.8,91.9,0.455,0.4,1.5,0.242,41.4,90.3,0.458,26.0,36.0,0.721,,,51.7,17.2,18.3,25.6,109.9,1968,,
2,Lg Rank,,1.0,1.0,11.0,1.0,10.0,11.0,9.0,1.0,7.0,1.0,7.0,8.0,6.0,,,11.0,2.0,10.0,9.0,6.0,1968,,
3,Year/Year,,,,,,,,,,,,,,,,,,,,,,1968,,
4,Opponent,78.0,18895.0,3092.0,7492.0,0.413,133.0,525.0,0.253,2959.0,6967.0,0.425,2153.0,2954.0,0.729,,,3973.0,1277.0,1248.0,1887.0,8470.0,1968,,
5,Opponent/G,,242.2,39.6,96.1,0.413,1.7,6.7,0.253,37.9,89.3,0.425,27.6,37.9,0.729,,,50.9,16.4,16.0,24.2,108.6,1968,,
6,Lg Rank,,1.0,4.0,5.0,4.0,9.0,11.0,2.0,4.0,5.0,5.0,10.0,9.0,9.0,,,3.0,8.0,10.0,8.0,6.0,1968,,
7,Year/Year,,,,,,,,,,,,,,,,,,,,,,1968,,
0,Team,78.0,18845,3185,7155,0.445,95,301,0.316,3090,6854,0.451,2192,2948,0.744,1357.0,2731.0,4088,1320,1473,2180,8657,1969,,
1,Team/G,,241.6,40.8,91.7,0.445,1.2,3.9,0.316,39.6,87.9,0.451,28.1,37.8,0.744,17.4,35.0,52.4,16.9,18.9,27.9,111.0,1969,,
2,Lg Rank,,8,8,11,5.0,7,8,3.0,6,9,5.0,5,6,3.0,11.0,5.0,10,9,6,9,10,1969,,
3,Year/Year,,-0.3%,-2.3%,-0.2%,-0.01,227.6%,150.8%,0.074,-4.4%,-2.7%,-0.008,8.1%,4.9%,0.022,,,1.4%,-1.8%,2.9%,9.2%,0.9%,1969,,
4,Opponent,78.0,18845,3188,7559,0.422,141,485,0.291,3047,7074,0.431,2193,3035,0.723,,,4146,1271,1290,2114,8710,1969,,
