Player,Salary,Year
Charles Oakley,"$5,236,000 ",2000
Antonio Davis,"$4,200,000 ",2000
Dee Brown,"$4,000,000 ",2000
Michael Stewart,"$3,200,000 ",2000
Doug Christie,"$2,742,600 ",2000
Kevin Willis,"$2,625,000 ",2000
Vince Carter,"$2,267,280 ",2000
Dell Curry,"$2,100,000 ",2000
Alvin Williams,"$1,925,000 ",2000
Tracy McGrady,"$1,767,120 ",2000
B.J. Tyler,"$1,614,000 ",2000
Aleksandar Radojevic,"$1,325,760 ",2000
John Thomas,"$832,560 ",2000
Muggsy Bogues,"$510,000 ",2000
Sean Marks,"$385,000 ",2000
Charles Oakley,"$5,760,000 ",2001
Antonio Davis,"$5,500,000 ",2001
Corliss Williamson,"$3,940,000 ",2001
Mark Jackson,"$3,570,000 ",2001
Michael Stewart,"$3,520,000 ",2001
Kevin Willis,"$2,870,000 ",2001
Vince Carter,"$2,425,440 ",2001
Alvin Williams,"$2,100,000 ",2001
Dell Curry,"$2,000,000 ",2001
Muggsy Bogues,"$1,740,000 ",2001
Aleksandar Radojevic,"$1,425,120 ",2001
Tyrone Corbin,"$1,000,000 ",2001
Morris Peterson,"$898,560 ",2001
Vladimir Stepania,"$749,160 ",2001
Kornel David,"$498,500 ",2001
Garth Joseph,"$316,969 ",2001
Antonio Davis,"$11,000,000 ",2002
Alvin Williams,"$5,350,000 ",2002
Chris Childs,"$5,200,000 ",2002
Hakeem Olajuwon,"$5,061,539 ",2002
Jerome Williams,"$5,000,000 ",2002
Michael Stewart,"$3,840,000 ",2002
Tracy Murray,"$3,400,000 ",2002
Vince Carter,"$3,073,032 ",2002
Eric Montross,"$2,480,000 ",2002
Dell Curry,"$2,100,000 ",2002
Keon Clark,"$1,971,163 ",2002
Michael Bradley,"$1,123,560 ",2002
Morris Peterson,"$966,000 ",2002
Don MacLean,"$965,850 ",2002
Mamadou N'Diaye,"$793,200 ",2002
Carlos Arroyo,"$332,817 ",2002
Antonio Davis,"$12,000,000 ",2003
Vince Carter,"$10,067,750 ",2003
Hakeem Olajuwon,"$5,694,231 ",2003
Alvin Williams,"$5,350,000 ",2003
Jerome Williams,"$5,250,000 ",2003
Lamond Murray,"$4,125,000 ",2003
Lindsey Hunter,"$3,870,912 ",2003
Eric Montross,"$2,720,000 ",2003
Michael Bradley,"$1,207,800 ",2003
Morris Peterson,"$1,033,320 ",2003
Mamadou N'Diaye,"$848,520 ",2003
Voshon Lenard,"$824,935 ",2003
Chris Jefferies,"$781,800 ",2003
Jelani McCoy,"$637,435 ",2003
Greg Foster,"$401,951 ",2003
Nate Huffman,"$349,458 ",2003
Jermaine Jackson,"$171,932 ",2003
Rafer Alston,"$37,344 ",2003
Art Long,"$35,819 ",2003
Jalen Rose,"$13,279,750 ",2004
Vince Carter,"$11,326,219 ",2004
Hakeem Olajuwon,"$6,326,923 ",2004
Alvin Williams,"$5,500,000 ",2004
Donyell Marshall,"$4,605,196 ",2004
Lamond Murray,"$4,500,000 ",2004
Eric Montross,"$2,960,000 ",2004
Chris Bosh,"$2,911,320 ",2004
Michael Curry,"$2,800,000 ",2004
Nate Huffman,"$1,760,000 ",2004
Morris Peterson,"$1,646,079 ",2004
Jerome Moiso,"$1,600,000 ",2004
Michael Bradley,"$1,292,040 ",2004
Milt Palacio,"$688,679 ",2004
Mengke Bateer,"$636,679 ",2004
Lonny Baxter,"$636,679 ",2004
Roger Mason,"$563,679 ",2004
Jalen Rose,"$14,487,000 ",2005
Alvin Williams,"$5,850,000 ",2005
Alonzo Mourning,"$5,408,700 ",2005
Donyell Marshall,"$5,023,850 ",2005
Lamond Murray,"$4,875,000 ",2005
Morris Peterson,"$4,400,000 ",2005
Aaron Williams,"$3,790,257 ",2005
Eric Williams,"$3,580,000 ",2005
Rafer Alston,"$3,500,000 ",2005
Chris Bosh,"$3,129,720 ",2005
Rafael Araujo,"$2,082,720 ",2005
Jerome Moiso,"$1,760,000 ",2005
Nate Huffman,"$1,280,000 ",2005
Milt Palacio,"$807,546 ",2005
Loren Woods,"$755,000 ",2005
Matt Bonner,"$385,277 ",2005
Pape Sow,"$385,277 ",2005
Roger Mason,"$203,428 ",2005
Jalen Rose,"$15,694,250 ",2006
Alvin Williams,"$6,300,000 ",2006
Lamond Murray,"$5,250,000 ",2006
Morris Peterson,"$4,550,000 ",2006
Alonzo Mourning,"$4,000,000 ",2006
Eric Williams,"$3,938,000 ",2006
Mike James,"$3,410,000 ",2006
Aaron Williams,"$3,375,000 ",2006
Chris Bosh,"$3,348,000 ",2006
Charlie Villanueva,"$2,360,880 ",2006
Rafael Araujo,"$2,238,960 ",2006
Jose Calderon,"$2,190,000 ",2006
Matt Bonner,"$2,000,000 ",2006
Joey Graham,"$1,388,400 ",2006
Darrick Martin,"$946,646 ",2006
Loren Woods,"$780,000 ",2006
Pape Sow,"$641,748 ",2006
Rasho Nesterovic,"$7,280,000 ",2007
Morris Peterson,"$4,550,000 ",2007
Andrea Bargnani,"$4,501,200 ",2007
Alvin Williams,"$4,483,516 ",2007
Chris Bosh,"$4,235,220 ",2007
Alonzo Mourning,"$4,225,433 ",2007
Anthony Parker,"$4,150,000 ",2007
Jorge Garbajosa,"$3,750,000 ",2007
T.J. Ford,"$2,929,467 ",2007
Juan Dixon,"$2,550,000 ",2007
Jose Calderon,"$2,333,334 ",2007
Kris Humphries,"$1,703,520 ",2007
Joey Graham,"$1,492,440 ",2007
Darrick Martin,"$1,178,348 ",2007
Pape Sow,"$744,551 ",2007
Uros Slokar,"$412,718 ",2007
P.J. Tucker,"$412,718 ",2007
Robert Whaley,"$83,026 ",2007
Chris Bosh,"$12,455,000 ",2008
T.J. Ford,"$8,000,000 ",2008
Rasho Nesterovic,"$7,840,000 ",2008
Jason Kapono,"$5,356,000 ",2008
Andrea Bargnani,"$4,838,880 ",2008
Alvin Williams,"$4,516,484 ",2008
Anthony Parker,"$4,350,000 ",2008
Jorge Garbajosa,"$4,000,000 ",2008
Primoz Brezec,"$2,750,000 ",2008
Kris Humphries,"$2,522,913 ",2008
Jose Calderon,"$2,471,604 ",2008
Carlos Delfino,"$1,868,141 ",2008
Maceo Baston,"$1,830,000 ",2008
Joey Graham,"$1,596,600 ",2008
Darrick Martin,"$1,219,590 ",2008
Jamario Moon,"$427,163 ",2008
Shawn Marion,"$17,810,000 ",2009
Chris Bosh,"$14,410,581 ",2009
Jose Calderon,"$7,438,018 ",2009
Jason Kapono,"$5,784,480 ",2009
Andrea Bargnani,"$5,176,440 ",2009
Anthony Parker,"$4,550,000 ",2009
Jorge Garbajosa,"$4,350,000 ",2009
Marcus Banks,"$4,260,000 ",2009
Kris Humphries,"$3,200,000 ",2009
Joey Graham,"$2,449,184 ",2009
Patrick O'Bryant,"$1,500,000 ",2009
Roko Ukic,"$1,250,000 ",2009
Jake Voskuhl,"$826,153 ",2009
Nathan Jawai,"$442,114 ",2009
Chris Bosh,"$15,779,912 ",2010
Hedo Turkoglu,"$9,000,000 ",2010
Jose Calderon,"$8,219,009 ",2010
Andrea Bargnani,"$6,527,491 ",2010
Reggie Evans,"$4,960,000 ",2010
Marcus Banks,"$4,553,793 ",2010
Jarrett Jack,"$4,500,000 ",2010
Amir Johnson,"$3,666,666 ",2010
DeMar DeRozan,"$2,282,640 ",2010
Antoine Wright,"$2,110,550 ",2010
Rasho Nesterovic,"$1,990,000 ",2010
Patrick O'Bryant,"$1,620,000 ",2010
Marco Belinelli,"$1,547,640 ",2010
Sonny Weems,"$736,420 ",2010
Pops Mensah-Bonsu,"$242,793 ",2010
Quincy Douby,"$85,519 ",2010
Peja Stojakovic,"$14,896,000 ",2011
Jose Calderon,"$9,000,000 ",2011
Andrea Bargnani,"$8,500,000 ",2011
Leandro Barbosa,"$7,100,000 ",2011
Reggie Evans,"$5,080,000 ",2011
Amir Johnson,"$5,000,000 ",2011
Linas Kleiza,"$4,995,000 ",2011
Julian Wright,"$2,858,057 ",2011
DeMar DeRozan,"$2,453,880 ",2011
Jerryd Bayless,"$2,292,600 ",2011
Ed Davis,"$1,919,160 ",2011
James Johnson,"$1,713,600 ",2011
Alexis Ajinca,"$1,467,840 ",2011
Joey Dorsey,"$854,389 ",2011
Sonny Weems,"$854,389 ",2011
Solomon Alabi,"$770,000 ",2011
