,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Damon Stoudamire,22.0,70,70.0,2865,481,1129,0.426,133,337,0.395,348,792,0.439,0.485,236,296,0.797,59,222,281,653,98,19,267,166,1331,1996
1,1,2.0,Oliver Miller,25.0,76,72.0,2516,418,795,0.526,0,11,0.0,418,784,0.533,0.526,146,221,0.661,177,385,562,219,108,143,202,277,982,1996
2,2,3.0,Alvin Robertson,33.0,77,69.0,2478,285,607,0.47,41,151,0.272,244,456,0.535,0.503,107,158,0.677,110,232,342,323,166,36,183,268,718,1996
3,3,4.0,Tracy Murray,24.0,82,37.0,2458,496,1092,0.454,151,358,0.422,345,734,0.47,0.523,182,219,0.831,114,238,352,131,87,40,132,208,1325,1996
4,4,5.0,Willie Anderson,29.0,49,42.0,1564,232,527,0.44,29,95,0.305,203,432,0.47,0.468,113,132,0.856,35,151,186,149,58,51,119,171,606,1996
5,5,6.0,Zan Tabak,25.0,67,18.0,1332,225,414,0.543,0,1,0.0,225,413,0.545,0.543,64,114,0.561,117,203,320,62,24,31,101,204,514,1996
6,6,7.0,Carlos Rogers,24.0,56,18.0,1043,178,344,0.517,3,21,0.143,175,323,0.542,0.522,71,130,0.546,80,90,170,35,25,48,61,87,430,1996
7,7,8.0,Ed Pinckney,32.0,47,24.0,1031,117,233,0.502,0,3,0.0,117,230,0.509,0.502,94,124,0.758,115,167,282,50,31,17,54,101,328,1996
8,8,9.0,Jimmy King,22.0,62,1.0,868,110,255,0.431,5,34,0.147,105,221,0.475,0.441,54,77,0.701,43,67,110,88,21,13,60,76,279,1996
9,9,10.0,Doug Christie,25.0,32,17.0,818,115,264,0.436,36,87,0.414,79,177,0.446,0.504,56,71,0.789,26,94,120,92,58,16,76,100,322,1996
10,10,11.0,Tony Massenburg,28.0,24,20.0,659,100,196,0.51,0,0,,100,196,0.51,0.51,43,65,0.662,52,114,166,18,13,9,35,67,243,1996
11,11,12.0,Acie Earl,25.0,42,7.0,655,117,276,0.424,0,3,0.0,117,273,0.429,0.424,82,114,0.719,51,78,129,27,18,37,49,73,316,1996
12,12,13.0,John Salley,31.0,25,6.0,482,51,105,0.486,0,0,,51,105,0.486,0.486,47,65,0.723,26,71,97,39,11,12,39,72,149,1996
13,13,14.0,Sharone Wright,23.0,11,6.0,298,65,128,0.508,1,3,0.333,64,125,0.512,0.512,50,73,0.685,24,33,57,11,6,10,28,38,181,1996
14,14,15.0,Vincenzo Esposito,26.0,30,0.0,282,36,100,0.36,13,56,0.232,23,44,0.523,0.425,31,39,0.795,4,12,16,23,7,0,39,27,116,1996
15,15,16.0,Martin Lewis,20.0,16,0.0,189,29,60,0.483,2,7,0.286,27,53,0.509,0.5,15,25,0.6,15,14,29,3,8,3,14,21,75,1996
16,16,17.0,Dan O'Sullivan,27.0,5,2.0,139,13,35,0.371,0,1,0.0,13,34,0.382,0.371,7,8,0.875,13,19,32,2,2,4,5,13,33,1996
17,17,18.0,Dwayne Whitfield,23.0,8,1.0,122,13,30,0.433,0,0,,13,30,0.433,0.433,14,22,0.636,9,16,25,2,3,2,8,14,40,1996
18,18,19.0,Herb Williams,37.0,1,0.0,31,3,8,0.375,0,0,,3,8,0.375,0.375,0,0,,1,7,8,0,1,2,0,4,6,1996
19,0,1.0,Damon Stoudamire,23.0,81,81.0,3311,564,1407,0.401,176,496,0.355,388,911,0.426,0.463,330,401,0.823,86,244,330,709,123,13,288,162,1634,1997
20,1,2.0,Doug Christie,26.0,81,81.0,3127,396,949,0.417,147,383,0.384,249,566,0.44,0.495,237,306,0.775,85,347,432,315,201,45,200,245,1176,1997
21,2,3.0,Walt Williams,26.0,73,73.0,2647,419,982,0.427,175,437,0.4,244,545,0.448,0.516,186,243,0.765,103,264,367,197,97,62,174,282,1199,1997
22,3,4.0,Popeye Jones,26.0,79,61.0,2421,258,537,0.48,1,13,0.077,257,524,0.49,0.481,99,121,0.818,270,410,680,84,58,39,116,269,616,1997
23,4,5.0,Marcus Camby,22.0,63,38.0,1897,375,778,0.482,2,14,0.143,373,764,0.488,0.483,183,264,0.693,131,263,394,97,66,130,134,214,935,1997
24,5,6.0,Carlos Rogers,25.0,56,3.0,1397,212,404,0.525,25,66,0.379,187,338,0.553,0.556,102,170,0.6,120,184,304,37,42,69,53,140,551,1997
25,6,7.0,Sharone Wright,24.0,60,28.0,1009,161,403,0.4,0,1,0.0,161,402,0.4,0.4,68,133,0.511,79,107,186,28,15,50,93,146,390,1997
26,7,8.0,Clifford Rozier,24.0,41,29.0,732,79,173,0.457,0,2,0.0,79,171,0.462,0.457,31,61,0.508,102,132,234,31,24,44,29,97,189,1997
27,8,9.0,Hubert Davis,26.0,36,0.0,623,74,184,0.402,16,70,0.229,58,114,0.509,0.446,17,23,0.739,11,29,40,34,11,2,21,40,181,1997
28,9,10.0,Acie Earl,26.0,38,0.0,457,59,157,0.376,0,5,0.0,59,152,0.388,0.376,44,70,0.629,33,52,85,18,12,27,33,54,162,1997
29,10,11.0,Shawn Respert,24.0,27,0.0,412,53,120,0.442,19,48,0.396,34,72,0.472,0.521,27,32,0.844,11,21,32,32,20,2,22,35,152,1997
30,11,12.0,Reggie Slater,26.0,26,0.0,406,82,149,0.55,0,2,0.0,82,147,0.558,0.55,39,75,0.52,40,55,95,21,9,6,29,34,203,1997
31,12,13.0,John Long,40.0,32,0.0,370,46,117,0.393,12,34,0.353,34,83,0.41,0.444,25,28,0.893,6,34,40,21,9,2,24,28,129,1997
32,13,14.0,Oliver Miller,26.0,19,8.0,316,47,84,0.56,0,1,0.0,47,83,0.566,0.56,20,26,0.769,23,50,73,29,13,13,20,48,114,1997
33,14,15.0,Donald Whiteside,27.0,27,1.0,259,18,55,0.327,12,36,0.333,6,19,0.316,0.436,11,15,0.733,2,10,12,36,11,0,17,23,59,1997
34,15,16.0,Zan Tabak,26.0,13,4.0,218,32,71,0.451,0,0,,32,71,0.451,0.451,20,29,0.69,20,29,49,14,6,11,21,35,84,1997
35,16,17.0,Martin Lewis,21.0,9,0.0,50,6,14,0.429,1,3,0.333,5,11,0.455,0.464,1,2,0.5,4,2,6,4,1,2,1,8,14,1997
36,17,18.0,Earl Cureton,39.0,9,0.0,46,3,8,0.375,0,0,,3,8,0.375,0.375,1,3,0.333,4,5,9,4,0,0,1,10,7,1997
37,18,19.0,Brad Lohaus,32.0,6,0.0,45,4,15,0.267,2,7,0.286,2,8,0.25,0.333,0,0,,1,6,7,1,1,0,1,6,10,1997
38,19,20.0,Benoit Benjamin,32.0,4,3.0,44,5,12,0.417,0,0,,5,12,0.417,0.417,3,4,0.75,3,6,9,1,1,0,2,5,13,1997
39,20,21.0,Jimmy Oliver,27.0,4,0.0,43,4,13,0.308,1,6,0.167,3,7,0.429,0.346,2,2,1.0,1,4,5,1,2,0,3,2,11,1997
40,0,1.0,Doug Christie,27.0,78,78.0,2939,458,1071,0.428,100,307,0.326,358,764,0.469,0.474,271,327,0.829,94,310,404,282,190,57,228,198,1287,1998
41,1,2.0,John Wallace,23.0,82,36.0,2361,468,979,0.478,1,2,0.5,467,977,0.478,0.479,210,293,0.717,117,256,373,110,62,101,172,239,1147,1998
42,2,3.0,Damon Stoudamire,24.0,49,49.0,2033,354,833,0.425,65,205,0.317,289,628,0.46,0.464,179,212,0.844,63,154,217,399,80,5,159,112,952,1998
43,3,4.0,Marcus Camby,23.0,63,58.0,2002,308,747,0.412,0,2,0.0,308,745,0.413,0.412,149,244,0.611,203,263,466,111,68,230,134,200,765,1998
44,4,5.0,Reggie Slater,27.0,78,28.0,1662,211,459,0.46,0,0,,211,459,0.46,0.46,203,322,0.63,134,171,305,74,45,30,102,201,625,1998
45,5,6.0,Oliver Miller,27.0,64,53.0,1628,170,369,0.461,0,4,0.0,170,365,0.466,0.461,61,101,0.604,146,254,400,196,58,72,131,184,401,1998
46,6,7.0,Tracy McGrady,18.0,64,17.0,1179,179,398,0.45,14,41,0.341,165,357,0.462,0.467,79,111,0.712,105,164,269,98,49,61,66,86,451,1998
47,7,8.0,Chauncey Billups,21.0,29,26.0,920,103,295,0.349,43,136,0.316,60,159,0.377,0.422,79,86,0.919,22,55,77,97,30,2,56,54,328,1998
48,8,9.0,Dee Brown,29.0,31,2.0,908,137,307,0.446,65,158,0.411,72,149,0.483,0.552,39,43,0.907,14,76,90,101,38,17,41,47,378,1998
49,9,10.0,Walt Williams,27.0,28,16.0,876,125,319,0.392,49,129,0.38,76,190,0.4,0.469,49,60,0.817,27,91,118,69,40,23,52,100,348,1998
50,10,11.0,Zan Tabak,27.0,39,29.0,752,116,249,0.466,0,1,0.0,116,248,0.468,0.466,16,48,0.333,59,95,154,36,15,27,44,117,248,1998
51,11,12.0,Shawn Respert,25.0,47,4.0,696,94,209,0.45,25,67,0.373,69,142,0.486,0.51,44,54,0.815,30,43,73,44,29,1,33,58,257,1998
52,12,13.0,Gary Trent,23.0,13,7.0,355,64,146,0.438,0,3,0.0,64,143,0.448,0.438,31,49,0.633,43,61,104,14,8,8,22,46,159,1998
53,13,14.0,Popeye Jones,27.0,14,4.0,352,52,127,0.409,2,3,0.667,50,124,0.403,0.417,14,19,0.737,50,52,102,18,10,3,16,39,120,1998
54,14,15.0,Carlos Rogers,26.0,18,0.0,351,45,87,0.517,0,1,0.0,45,86,0.523,0.517,18,32,0.563,34,31,65,16,9,8,13,34,108,1998
55,15,16.0,Chris Garner,22.0,38,0.0,293,23,70,0.329,4,14,0.286,19,56,0.339,0.357,3,7,0.429,7,17,24,45,21,4,25,50,53,1998
56,16,17.0,Alvin Williams,23.0,13,3.0,207,16,44,0.364,2,4,0.5,14,40,0.35,0.386,7,11,0.636,5,16,21,20,8,1,8,19,41,1998
57,17,18.0,John Thomas,22.0,21,0.0,167,14,33,0.424,0,0,,14,33,0.424,0.424,15,21,0.714,16,20,36,4,3,3,13,32,43,1998
58,18,19.0,Lloyd Daniels,30.0,6,0.0,82,12,29,0.414,2,9,0.222,10,20,0.5,0.448,8,10,0.8,4,3,7,4,3,2,4,4,34,1998
