,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Team,82.0,19830.0,3084.0,6598.0,0.467,414.0,1168.0,0.354,2670.0,5430.0,0.492,1412.0,1953.0,0.723,1071.0,2213.0,3284.0,1927.0,745.0,493.0,1544.0,1987.0,7994.0,1996
1,Team/G,,241.8,37.6,80.5,0.467,5.0,14.2,0.354,32.6,66.2,0.492,17.2,23.8,0.723,13.1,27.0,40.0,23.5,9.1,6.0,18.8,24.2,97.5,1996
2,Lg Rank,,10.0,12.0,17.0,14.0,21.0,21.0,20.0,8.0,9.0,15.0,26.0,27.0,23.0,8.0,23.0,19.0,9.0,3.0,6.0,29.0,22.0,21.0,1996
3,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,1996
4,Opponent,82.0,19830.0,3146.0,6624.0,0.475,519.0,1416.0,0.367,2627.0,5208.0,0.504,1799.0,2416.0,0.745,1098.0,2274.0,3372.0,1990.0,766.0,482.0,1326.0,1739.0,8610.0,1996
5,Opponent/G,,241.8,38.4,80.8,0.475,6.3,17.3,0.367,32.0,63.5,0.504,21.9,29.5,0.745,13.4,27.7,41.1,24.3,9.3,5.9,16.2,21.2,105.0,1996
6,Lg Rank,,10.0,22.0,15.0,23.0,22.0,25.0,15.0,18.0,12.0,25.0,24.0,25.0,19.0,22.0,7.0,15.0,24.0,28.0,23.0,12.0,28.0,27.0,1996
7,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,1996
0,Team,82.0,19830,2897,6632,0.437,589,1624,0.363,2308,5008,0.461,1446,2008,0.72,1135,2254,3389,1714,722,517,1347,1883,7829,1997
1,Team/G,,241.8,35.3,80.9,0.437,7.2,19.8,0.363,28.1,61.1,0.461,17.6,24.5,0.72,13.8,27.5,41.3,20.9,8.8,6.3,16.4,23.0,95.5,1997
2,Lg Rank,,15,19,10,27.0,6,6,14.0,23,19,27.0,23,17,22.0,4,23,12,19,6,3,23,20,18,1997
3,Year/Year,,0.0%,-6.1%,0.5%,-0.031,42.3%,39.0%,0.008,-13.6%,-7.8%,-0.031,2.4%,2.8%,-0.003,6.0%,1.9%,3.2%,-11.1%,-3.1%,4.9%,-12.8%,-5.2%,-2.1%,1997
4,Opponent,82.0,19830,2971,6390,0.465,497,1427,0.348,2474,4963,0.498,1646,2274,0.724,1033,2352,3385,1967,675,442,1338,1799,8085,1997
5,Opponent/G,,241.8,36.2,77.9,0.465,6.1,17.4,0.348,30.2,60.5,0.498,20.1,27.7,0.724,12.6,28.7,41.3,24.0,8.2,5.4,16.3,21.9,98.6,1997
6,Lg Rank,,15,15,10,21.0,17,20,8.0,14,8,24.0,23,24,3.0,13,18,17,24,15,22,6,14,20,1997
7,Year/Year,,0.0%,-5.6%,-3.5%,-0.01,-4.2%,0.8%,-0.018,-5.8%,-4.7%,-0.006,-8.5%,-5.9%,-0.021,-5.9%,3.4%,0.4%,-1.2%,-11.9%,-8.3%,0.9%,3.5%,-6.1%,1997
0,Team,82.0,19930,2965,6813,0.435,372,1086,0.343,2593,5727,0.453,1479,2060,0.718,1187,2149,3336,1746,769,663,1371,1851,7781,1998
1,Team/G,,243.0,36.2,83.1,0.435,4.5,13.2,0.343,31.6,69.8,0.453,18.0,25.1,0.718,14.5,26.2,40.7,21.3,9.4,8.1,16.7,22.6,94.9,1998
2,Lg Rank,,3,12,5,24.0,11,10,17.0,16,7,25.0,23,22,24.0,5,27,20,19,5,1,25,15,17,1998
3,Year/Year,,0.5%,2.3%,2.7%,-0.002,-36.8%,-33.1%,-0.02,12.3%,14.4%,-0.008,2.3%,2.6%,-0.002,4.6%,-4.7%,-1.6%,1.9%,6.5%,28.2%,1.8%,-1.7%,-0.6%,1998
4,Opponent,82.0,19930,3271,6826,0.479,396,1034,0.383,2875,5792,0.496,1603,2289,0.7,1270,2506,3776,2219,737,514,1370,1748,8541,1998
