,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Pete Maravich,27,79,,36.1,8.3,19.8,0.419,,,,8.3,19.8,0.419,0.419,4.9,6.1,0.811,1.2,4.2,5.3,6.2,1.5,0.2,,2.9,21.5,1975
1,1,2,Toby Kimball,32,3,,30.0,2.3,7.7,0.304,,,,2.3,7.7,0.304,0.304,2.0,2.3,0.857,2.7,6.0,8.7,1.3,0.7,0.0,,4.0,6.7,1975
2,2,3,E.C. Coleman,24,77,,28.3,3.3,7.4,0.445,,,,3.3,7.4,0.445,0.445,1.5,2.2,0.699,2.5,4.7,7.1,1.4,1.1,0.5,,3.6,8.1,1975
3,3,4,Jim Barnett,30,45,,27.5,4.8,10.7,0.448,,,,4.8,10.7,0.448,0.448,3.5,4.2,0.83,1.0,1.8,2.8,3.0,0.8,0.4,,2.4,13.0,1975
4,4,5,Ollie Johnson,25,43,,27.0,3.2,7.0,0.465,,,,3.2,7.0,0.465,0.465,1.4,1.8,0.805,1.4,2.7,4.1,1.9,1.0,0.5,,2.4,7.9,1975
5,5,6,Louie Nelson,23,72,,26.4,4.3,9.4,0.452,,,,4.3,9.4,0.452,0.452,2.7,3.5,0.768,1.0,1.7,2.7,2.5,0.9,0.1,,2.6,11.2,1975
6,6,7,Otto Moore,28,40,,26.4,2.9,6.5,0.453,,,,2.9,6.5,0.453,0.453,1.1,1.7,0.672,2.3,5.9,8.2,2.1,0.5,1.0,,3.7,7.0,1975
7,7,8,Nate Williams,24,35,,23.3,6.0,11.5,0.517,,,,6.0,11.5,0.517,0.517,2.4,2.9,0.824,1.3,3.3,4.5,1.9,1.3,0.2,,2.8,14.3,1975
8,8,9,Neal Walk,26,37,,23.0,4.1,9.7,0.422,,,,4.1,9.7,0.422,0.422,1.7,2.2,0.8,2.0,5.1,7.1,2.7,0.8,0.5,,3.3,9.9,1975
9,9,10,Aaron James,22,76,,22.8,4.9,10.2,0.477,,,,4.9,10.2,0.477,0.477,1.9,2.5,0.778,1.8,3.0,4.8,0.9,0.5,0.2,,2.9,11.7,1975
10,10,11,Bud Stallworth,25,73,,22.8,4.1,9.7,0.42,,,,4.1,9.7,0.42,0.42,1.7,2.5,0.687,1.1,2.3,3.4,0.6,0.8,0.2,,2.8,9.9,1975
11,11,12,Rick Adelman,28,28,,21.9,2.4,5.7,0.421,,,,2.4,5.7,0.421,0.421,1.5,2.1,0.695,0.5,1.5,2.0,2.5,1.7,0.2,,2.1,6.3,1975
12,12,13,Rick Roberson,27,16,,21.2,3.0,6.8,0.444,,,,3.0,6.8,0.444,0.444,1.4,2.5,0.575,2.4,4.9,7.4,1.4,0.4,0.5,,3.1,7.4,1975
13,13,14,Mel Counts,33,75,,18.9,2.9,6.6,0.438,,,,2.9,6.6,0.438,0.438,1.1,1.5,0.761,1.4,4.5,5.9,2.4,0.7,0.6,,2.6,6.9,1975
14,14,15,Lamar Green,27,15,,18.7,1.6,4.7,0.343,,,,1.6,4.7,0.343,0.343,0.6,1.3,0.45,1.9,5.4,7.3,1.1,0.3,0.3,,2.5,3.8,1975
15,15,16,Henry Bibby,25,28,,18.7,3.3,7.8,0.416,,,,3.3,7.8,0.416,0.416,2.4,3.3,0.731,0.6,1.1,1.8,2.7,0.9,0.0,,2.2,8.9,1975
16,16,17,Stu Lantz,28,19,,18.6,2.1,6.1,0.339,,,,2.1,6.1,0.339,0.339,2.5,2.8,0.887,0.4,0.9,1.3,1.6,0.6,0.1,,1.5,6.6,1975
