Player,Salary,Year
Karl Malone,"$14,000,000 ",2000
John Stockton,"$11,000,000 ",2000
Jeff Hornacek,"$5,200,000 ",2000
Greg Ostertag,"$5,200,000 ",2000
Bryon Russell,"$4,000,000 ",2000
Adam Keefe,"$3,000,000 ",2000
Olden Polynice,"$2,000,000 ",2000
Howard Eisley,"$1,560,000 ",2000
Quincy Lewis,"$930,720 ",2000
Jacque Vaughn,"$781,800 ",2000
Scott Padgett,"$679,800 ",2000
Andrei Kirilenko,"$632,400 ",2000
Thurl Bailey,"$510,000 ",2000
Pete Chilcutt,"$510,000 ",2000
Armen Gilliam,"$312,000 ",2000
Bakari Hendrix,"$31,706 ",2000
Karl Malone,"$15,750,000 ",2001
John Stockton,"$11,000,000 ",2001
Donyell Marshall,"$5,630,000 ",2001
Greg Ostertag,"$5,200,000 ",2001
Bryon Russell,"$4,570,000 ",2001
John Starks,"$2,250,000 ",2001
Olden Polynice,"$2,200,000 ",2001
Jacque Vaughn,"$1,500,000 ",2001
Danny Manning,"$1,200,000 ",2001
Quincy Lewis,"$1,000,440 ",2001
DeShawn Stevenson,"$828,120 ",2001
John Crotty,"$800,000 ",2001
David Benoit,"$736,000 ",2001
Scott Padgett,"$730,800 ",2001
Bruno Sundov,"$498,500 ",2001
Karl Malone,"$17,500,000 ",2002
John Stockton,"$7,000,000 ",2002
Greg Ostertag,"$6,933,328 ",2002
Donyell Marshall,"$6,510,000 ",2002
Bryon Russell,"$5,142,857 ",2002
John Starks,"$2,475,000 ",2002
John Amaechi,"$2,175,000 ",2002
Quincy Lewis,"$1,070,280 ",2002
John Crotty,"$1,000,000 ",2002
DeShawn Stevenson,"$890,280 ",2002
Andrei Kirilenko,"$831,120 ",2002
Scott Padgett,"$781,680 ",2002
Jarron Collins,"$332,817 ",2002
Karl Malone,"$19,250,000 ",2003
John Stockton,"$7,875,000 ",2003
Greg Ostertag,"$7,799,996 ",2003
Matt Harpring,"$4,000,000 ",2003
John Amaechi,"$2,392,500 ",2003
Jarron Collins,"$1,150,000 ",2003
Curtis Borchardt,"$1,113,720 ",2003
Mark Jackson,"$1,030,000 ",2003
Calbert Cheaney,"$1,000,000 ",2003
Donyell Marshall,"$1,000,000 ",2003
DeShawn Stevenson,"$952,320 ",2003
Andrei Kirilenko,"$893,400 ",2003
Tony Massenburg,"$741,098 ",2003
Scott Padgett,"$612,435 ",2003
