,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Pete Maravich,27.0,79,,2853,655,1562,0.419,,,,655,1562,0.419,0.419,390,481,0.811,93,329,422,488,120,18,,227,1700,1975
1,1,2.0,E.C. Coleman,24.0,77,,2176,253,568,0.445,,,,253,568,0.445,0.445,116,166,0.699,189,360,549,105,82,37,,277,622,1975
2,2,3.0,Louie Nelson,23.0,72,,1898,307,679,0.452,,,,307,679,0.452,0.452,192,250,0.768,75,121,196,178,65,6,,186,806,1975
3,3,4.0,Aaron James,22.0,76,,1731,370,776,0.477,,,,370,776,0.477,0.477,147,189,0.778,140,226,366,66,41,15,,217,887,1975
4,4,5.0,Bud Stallworth,25.0,73,,1668,298,710,0.42,,,,298,710,0.42,0.42,125,182,0.687,78,168,246,46,59,11,,208,721,1975
5,5,6.0,Mel Counts,33.0,75,,1421,217,495,0.438,,,,217,495,0.438,0.438,86,113,0.761,102,339,441,182,49,43,,196,520,1975
6,6,7.0,Jim Barnett,30.0,45,,1238,215,480,0.448,,,,215,480,0.448,0.448,156,188,0.83,45,83,128,137,35,16,,109,586,1975
7,7,8.0,Ollie Johnson,25.0,43,,1159,139,299,0.465,,,,139,299,0.465,0.465,62,77,0.805,60,117,177,80,42,20,,103,340,1975
8,8,9.0,Otto Moore,28.0,40,,1055,117,258,0.453,,,,117,258,0.453,0.453,45,67,0.672,92,236,328,82,21,39,,146,279,1975
9,9,10.0,Neal Walk,26.0,37,,851,151,358,0.422,,,,151,358,0.422,0.422,64,80,0.8,73,189,262,101,30,20,,122,366,1975
10,10,11.0,Nate Williams,24.0,35,,814,209,404,0.517,,,,209,404,0.517,0.517,84,102,0.824,44,114,158,67,44,6,,99,502,1975
11,11,12.0,Rick Adelman,28.0,28,,613,67,159,0.421,,,,67,159,0.421,0.421,41,59,0.695,13,42,55,69,47,6,,58,175,1975
12,12,13.0,Henry Bibby,25.0,28,,524,91,219,0.416,,,,91,219,0.416,0.416,68,93,0.731,18,32,50,76,25,0,,61,250,1975
13,13,14.0,Bernie Fryer,25.0,31,,432,47,106,0.443,,,,47,106,0.443,0.443,33,43,0.767,16,30,46,52,22,0,,54,127,1975
