,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,3P,3PA,3P%,2P,2PA,2P%
0,Team,82.0,19730.0,3301.0,7509.0,0.44,1717.0,2247.0,0.764,1144.0,2616.0,3760.0,1818.0,725.0,256.0,1802.0,2222.0,8319.0,1975,,,,,,
1,Team/G,,240.6,40.3,91.6,0.44,20.9,27.4,0.764,14.0,31.9,45.9,22.2,8.8,3.1,22.0,27.1,101.5,1975,,,,,,
2,Lg Rank,,14.0,15.0,8.0,17.0,4.0,3.0,10.0,8.0,14.0,12.0,16.0,8.0,17.0,17.0,18.0,10.0,1975,,,,,,
3,Year/Year,,,,,,,,,,,,,,,,,,1975,,,,,,
4,Opponent,82.0,19730.0,3553.0,7433.0,0.478,1857.0,2465.0,0.753,1193.0,2924.0,4117.0,1891.0,783.0,349.0,1924.0,2126.0,8963.0,1975,,,,,,
5,Opponent/G,,240.6,43.3,90.6,0.478,22.6,30.1,0.753,14.5,35.7,50.2,23.1,9.5,4.3,23.5,25.9,109.3,1975,,,,,,
6,Lg Rank,,14.0,15.0,9.0,17.0,18.0,18.0,4.0,13.0,18.0,17.0,7.0,14.0,9.0,1.0,3.0,18.0,1975,,,,,,
7,Year/Year,,,,,,,,,,,,,,,,,,1975,,,,,,
0,Team,82.0,19880,3352,7491,0.447,1831,2415,0.758,1189,2779,3968,1765,750,343,1659,2175,8535,1976,,,,,,
1,Team/G,,242.4,40.9,91.4,0.447,22.3,29.5,0.758,14.5,33.9,48.4,21.5,9.1,4.2,20.2,26.5,104.1,1976,,,,,,
2,Lg Rank,,2,15,10,15.0,2,3,9.0,9,6,6,13,9,12,12,17,10,1976,,,,,,
3,Year/Year,,0.8%,1.5%,-0.2%,0.008,6.6%,7.5%,-0.006,3.9%,6.2%,5.5%,-2.9%,3.4%,34.0%,-7.9%,-2.1%,2.6%,1976,,,,,,
4,Opponent,82.0,19880,3396,7413,0.458,1816,2464,0.737,1182,2846,4028,1684,777,405,1748,2162,8608,1976,,,,,,
5,Opponent/G,,242.4,41.4,90.4,0.458,22.1,30.0,0.737,14.4,34.7,49.1,20.5,9.5,4.9,21.3,26.4,105.0,1976,,,,,,
6,Lg Rank,,2,4,5,9.0,17,18,3.0,10,17,16,2,14,15,4,3,9,1976,,,,,,
