,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,Walt Bellamy,22,79,,42.3,12.3,23.7,0.519,,,,12.3,23.7,0.519,0.519,6.9,10.8,0.644,,,19.0,2.7,,,,3.6,31.6,1962
1,1,2,Si Green,28,57,,37.1,5.3,14.1,0.375,,,,5.3,14.1,0.375,0.375,3.3,4.8,0.686,,,6.1,4.9,,,,3.3,13.8,1962
2,2,3,Slick Leonard,29,70,,35.2,6.0,16.1,0.375,,,,6.0,16.1,0.375,0.375,4.0,5.3,0.752,,,2.8,5.4,,,,2.7,16.1,1962
3,3,4,Barney Cable,26,15,,33.2,5.5,14.5,0.378,,,,5.5,14.5,0.378,0.378,2.8,3.9,0.712,,,5.5,2.1,,,,3.7,13.7,1962
4,4,5,Andy Johnson,29,71,,30.9,5.1,11.5,0.448,,,,5.1,11.5,0.448,0.448,4.0,6.4,0.628,,,4.9,3.2,,,,3.5,14.3,1962
5,5,6,Woody Sauldsberry,27,49,,30.1,5.2,15.2,0.344,,,,5.2,15.2,0.344,0.344,1.2,1.9,0.638,,,9.5,1.6,,,,3.2,11.7,1962
6,6,7,Vern Hatton,26,15,,26.4,3.0,9.7,0.308,,,,3.0,9.7,0.308,0.308,3.5,4.6,0.754,,,3.0,2.9,,,,1.5,9.5,1962
7,7,8,Ralph Davis,23,77,,25.9,4.7,11.4,0.413,,,,4.7,11.4,0.413,0.413,0.9,1.3,0.689,,,2.1,3.2,,,,2.4,10.4,1962
8,8,9,Charlie Tyra,26,78,,20.6,2.5,6.8,0.361,,,,2.5,6.8,0.361,0.361,1.7,2.7,0.621,,,7.8,1.1,,,,2.7,6.7,1962
9,9,10,Horace Walker,24,65,,20.5,2.3,6.8,0.339,,,,2.3,6.8,0.339,0.339,2.2,3.0,0.725,,,7.2,1.1,,,,3.0,6.7,1962
10,10,11,Archie Dees,25,13,,16.7,2.9,6.7,0.437,,,,2.9,6.7,0.437,0.437,2.1,2.7,0.771,,,4.5,0.9,,,,1.7,7.9,1962
11,11,12,Dave Piontek,27,45,,13.6,1.8,5.0,0.369,,,,1.8,5.0,0.369,0.369,0.9,1.3,0.661,,,3.4,0.7,,,,2.0,4.6,1962
12,12,13,Jack Turner,22,42,,13.5,2.0,5.3,0.38,,,,2.0,5.3,0.38,0.38,0.8,1.0,0.762,,,2.0,1.0,,,,1.2,4.8,1962
13,13,14,Howie Carl,23,31,,12.3,2.2,6.5,0.333,,,,2.2,6.5,0.333,0.333,1.2,1.6,0.706,,,1.3,1.8,,,,1.3,5.5,1962
14,14,15,Joe Graboski,32,12,,9.8,2.1,5.9,0.352,,,,2.1,5.9,0.352,0.352,1.4,2.2,0.654,,,3.3,0.5,,,,1.2,5.6,1962
15,15,16,York Larese,23,8,,7.1,1.3,2.6,0.476,,,,1.3,2.6,0.476,0.476,0.6,1.1,0.556,,,0.8,1.1,,,,1.0,3.1,1962
16,16,17,George Bon Salle,26,3,,3.0,0.7,2.7,0.25,,,,0.7,2.7,0.25,0.25,0.0,0.0,,,,0.7,0.0,,,,0.0,1.3,1962
17,0,1,Walt Bellamy,23,80,,41.3,10.5,19.9,0.527,,,,10.5,19.9,0.527,0.527,6.9,10.3,0.674,,,16.4,2.9,,,,3.5,27.9,1963
18,1,2,Terry Dischinger,22,57,,40.2,9.2,18.0,0.512,,,,9.2,18.0,0.512,0.512,7.1,9.2,0.77,,,8.0,3.1,,,,3.3,25.5,1963
19,2,3,Si Green,29,73,,36.3,4.4,10.7,0.411,,,,4.4,10.7,0.411,0.411,2.9,4.2,0.683,,,4.6,5.8,,,,3.8,11.7,1963
20,3,4,Woody Sauldsberry,28,54,,30.8,5.6,14.7,0.384,,,,5.6,14.7,0.384,0.384,1.6,2.4,0.685,,,6.8,1.2,,,,3.2,12.9,1963
21,4,5,Barney Cable,27,19,,28.5,3.5,8.6,0.402,,,,3.5,8.6,0.402,0.402,1.1,1.7,0.636,,,5.7,2.2,,,,2.6,8.1,1963
22,5,6,Slick Leonard,30,32,,27.5,2.6,7.7,0.343,,,,2.6,7.7,0.343,0.343,1.8,2.7,0.694,,,2.1,4.5,,,,2.6,7.1,1963
23,6,7,Maurice King,27,37,,25.8,2.5,6.5,0.39,,,,2.5,6.5,0.39,0.39,0.8,0.9,0.824,,,2.8,3.8,,,,2.4,5.8,1963
24,7,8,Johnny Cox,26,73,,23.1,3.3,7.8,0.421,,,,3.3,7.8,0.421,0.421,1.3,1.8,0.704,,,3.8,1.9,,,,2.0,7.8,1963
25,8,9,Charlie Hardnett,24,78,,21.2,3.9,8.8,0.441,,,,3.9,8.8,0.441,0.441,2.9,4.5,0.645,,,7.7,0.9,,,,2.9,10.6,1963
26,9,10,Nick Mantis,27,33,,19.0,2.6,6.8,0.384,,,,2.6,6.8,0.384,0.384,0.7,1.2,0.6,,,2.4,2.3,,,,2.5,5.9,1963
27,10,11,Larry Staverman,26,33,,18.2,2.8,5.9,0.485,,,,2.8,5.9,0.485,0.485,1.5,1.9,0.79,,,4.8,1.3,,,,2.8,7.2,1963
28,11,12,Don Nelson,22,62,,17.3,2.1,4.7,0.44,,,,2.1,4.7,0.44,0.44,2.6,3.6,0.729,,,4.5,1.2,,,,2.2,6.8,1963
29,12,13,Ralph Wells,22,3,,16.0,0.3,2.3,0.143,,,,0.3,2.3,0.143,0.143,0.0,2.3,0.0,,,2.0,2.3,,,,2.0,0.7,1963
30,13,14,Mel Nowell,23,39,,15.1,2.4,6.1,0.388,,,,2.4,6.1,0.388,0.388,1.2,1.7,0.727,,,1.7,2.2,,,,2.2,5.9,1963
31,14,15,Bill McGill,23,60,,9.8,3.0,5.9,0.513,,,,3.0,5.9,0.513,0.513,1.3,2.0,0.672,,,2.7,0.6,,,,2.0,7.4,1963
32,15,16,Al Ferrari,29,18,,7.7,0.7,2.1,0.324,,,,0.7,2.1,0.324,0.324,0.8,0.9,0.824,,,0.7,0.8,,,,1.2,2.1,1963
33,16,17,Jeff Slade,21,3,,6.7,0.7,1.7,0.4,,,,0.7,1.7,0.4,0.4,0.0,0.3,0.0,,,2.3,0.0,,,,1.0,1.3,1963
34,0,1,Walt Bellamy,24,80,,42.4,10.1,19.8,0.513,,,,10.1,19.8,0.513,0.513,6.7,10.3,0.651,,,17.0,1.6,,,,3.8,27.0,1964
35,1,2,Gus Johnson,25,78,,36.5,7.3,17.0,0.43,,,,7.3,17.0,0.43,0.43,2.7,4.1,0.658,,,13.6,2.2,,,,4.1,17.3,1964
36,2,3,Terry Dischinger,23,80,,35.2,7.6,15.2,0.496,,,,7.6,15.2,0.496,0.496,5.7,7.3,0.776,,,8.3,2.0,,,,4.0,20.8,1964
37,3,4,Rod Thorn,22,75,,34.6,5.5,13.5,0.405,,,,5.5,13.5,0.405,0.405,3.4,4.7,0.731,,,4.8,3.7,,,,2.5,14.4,1964
