,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,80.0,,3461.0,8405.0,0.412,1952.0,2901.0,0.673,,,5547.0,1802.0,1954.0,8874.0,1962,,,,,,,,,
1,Team/G,,,43.3,105.1,0.412,24.4,36.3,0.673,,,69.3,22.5,24.4,110.9,1962,,,,,,,,,
2,Lg Rank,,,9.0,7.0,9.0,8.0,6.0,9.0,,,8.0,6.0,2.0,9.0,1962,,,,,,,,,
3,Year/Year,,,,,,,,,,,,,,,1962,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,9553.0,1962,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,119.4,1962,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,5.0,1962,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,,1962,,,,,,,,,
0,Team,80.0,,3371,7448,0.453,2053,2944,0.697,,,5145,1773,2065,8795,1963,,,,,,,,,
1,Team/G,,,42.1,93.1,0.453,25.7,36.8,0.697,,,64.3,22.2,25.8,109.9,1963,,,,,,,,,
2,Lg Rank,,,8,9,2.0,5,2,8.0,,,7,5,3,8,1963,,,,,,,,,
3,Year/Year,,,-2.6%,-11.4%,0.041,5.2%,1.5%,0.024,,,-7.2%,-1.6%,5.7%,-0.9%,1963,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,9122,1963,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,114.0,1963,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,4,1963,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-4.5%,1963,,,,,,,,,
0,Team,80.0,,3456,7862,0.44,2036,2958,0.688,,,5460,1423,2073,8948,1964,,,,,,,,,
1,Team/G,,,43.2,98.3,0.44,25.5,37.0,0.688,,,68.3,17.8,25.9,111.9,1964,,,,,,,,,
2,Lg Rank,,,4,5,4.0,5,1,7.0,,,3,9,3,5,1964,,,,,,,,,
3,Year/Year,,,2.5%,5.6%,-0.013,-0.8%,0.5%,-0.009,,,6.1%,-19.7%,0.4%,1.7%,1964,,,,,,,,,
4,Opponent,80.0,,,,,,,,,,,,,9091,1964,,,,,,,,,
5,Opponent/G,,,,,,,,,,,,,,113.6,1964,,,,,,,,,
6,Lg Rank,,,,,,,,,,,,,,6,1964,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,-0.3%,1964,,,,,,,,,
0,Team,80.0,19375.0,3421,7734,0.442,2245,3144,0.714,,,5298,1676,2119,9087,1965,,,,,,,,,
1,Team/G,,242.2,42.8,96.7,0.442,28.1,39.3,0.714,,,66.2,21.0,26.5,113.6,1965,,,,,,,,,
2,Lg Rank,,2.0,4,7,2.0,2,1,6.0,,,5,5,8,2,1965,,,,,,,,,
3,Year/Year,,,-1.0%,-1.6%,0.003,10.3%,6.3%,0.026,,,-3.0%,17.8%,2.2%,1.6%,1965,,,,,,,,,
4,Opponent,80.0,19375.0,,,,,,,,,,,,9264,1965,,,,,,,,,
5,Opponent/G,,242.2,,,,,,,,,,,,115.8,1965,,,,,,,,,
6,Lg Rank,,2.0,,,,,,,,,,,,9,1965,,,,,,,,,
7,Year/Year,,,,,,,,,,,,,,1.9%,1965,,,,,,,,,
0,Team,80.0,19250,3599,8210,0.438,2267,3186,0.712,,,5542,1890,2199,9465,1966,,,,,,,,,
1,Team/G,,240.6,45.0,102.6,0.438,28.3,39.8,0.712,,,69.3,23.6,27.5,118.3,1966,,,,,,,,,
2,Lg Rank,,3,3,4,5.0,2,1,7.0,,,5,4,8,2,1966,,,,,,,,,
3,Year/Year,,-0.6%,5.2%,6.2%,-0.004,1.0%,1.3%,-0.003,,,4.6%,12.8%,3.8%,4.2%,1966,,,,,,,,,
4,Opponent,80.0,19250,,,,,,,,,,,,9560,1966,,,,,,,,,
5,Opponent/G,,240.6,,,,,,,,,,,,119.5,1966,,,,,,,,,
6,Lg Rank,,3,,,,,,,,,,,,9,1966,,,,,,,,,
7,Year/Year,,-0.6%,,,,,,,,,,,,3.2%,1966,,,,,,,,,
0,Team,81.0,19540,3664,8578,0.427,2025,2771,0.731,,,5342,1652,2153,9353,1967,,,,,,,,,
1,Team/G,,241.2,45.2,105.9,0.427,25.0,34.2,0.731,,,66.0,20.4,26.6,115.5,1967,,,,,,,,,
2,Lg Rank,,5,5,2,8.0,9,9,6.0,,,6,9,6,7,1967,,,,,,,,,
3,Year/Year,,0.3%,0.5%,3.2%,-0.011,-11.8%,-14.1%,0.019,,,-4.8%,-13.7%,-3.3%,-2.4%,1967,,,,,,,,,
4,Opponent,81.0,19540,,,,,,,,,,,,9881,1967,,,,,,,,,
5,Opponent/G,,241.2,,,,,,,,,,,,122.0,1967,,,,,,,,,
6,Lg Rank,,5,,,,,,,,,,,,10,1967,,,,,,,,,
7,Year/Year,,0.3%,,,,,,,,,,,,2.1%,1967,,,,,,,,,
0,Team,82.0,19755,3691,8428,0.438,2245,2994,0.75,,,5431,1534,2127,9627,1968,,,,,,,,,
1,Team/G,,240.9,45.0,102.8,0.438,27.4,36.5,0.75,,,66.2,18.7,25.9,117.4,1968,,,,,,,,,
2,Lg Rank,,9,5,4,9.0,4,8,2.0,,,5,11,4,5,1968,,,,,,,,,
3,Year/Year,,-0.1%,-0.5%,-2.9%,0.011,9.5%,6.7%,0.019,,,0.4%,-8.3%,-2.4%,1.7%,1968,,,,,,,,,
4,Opponent,82.0,19755,,,,,,,,,,,,9659,1968,,,,,,,,,
5,Opponent/G,,240.9,,,,,,,,,,,,117.8,1968,,,,,,,,,
6,Lg Rank,,9,,,,,,,,,,,,9,1968,,,,,,,,,
7,Year/Year,,-0.1%,,,,,,,,,,,,-3.4%,1968,,,,,,,,,
0,Team,82.0,19755,3770,8567,0.44,2002,2734,0.732,,,4963,1682,2038,9542,1969,,,,,,,,,
1,Team/G,,240.9,46.0,104.5,0.44,24.4,33.3,0.732,,,60.5,20.5,24.9,116.4,1969,,,,,,,,,
2,Lg Rank,,9,1,2,7.0,9,10,4.0,,,3,13,3,2,1969,,,,,,,,,
3,Year/Year,,0.0%,2.1%,1.6%,0.002,-10.8%,-8.7%,-0.018,,,-8.6%,9.6%,-4.2%,-0.9%,1969,,,,,,,,,
4,Opponent,82.0,19755,,,,,,,,,,,,9193,1969,,,,,,,,,
5,Opponent/G,,240.9,,,,,,,,,,,,112.1,1969,,,,,,,,,
6,Lg Rank,,9,,,,,,,,,,,,7,1969,,,,,,,,,
7,Year/Year,,0.0%,,,,,,,,,,,,-4.8%,1969,,,,,,,,,
0,Team,82.0,19905,3925,8567,0.458,2050,2652,0.773,,,4679,1881,1896,9900,1970,,,,,,,,,
1,Team/G,,242.7,47.9,104.5,0.458,25.0,32.3,0.773,,,57.1,22.9,23.1,120.7,1970,,,,,,,,,
2,Lg Rank,,1,1,2,9.0,8,10,2.0,,,3,11,2,2,1970,,,,,,,,,
3,Year/Year,,0.8%,4.1%,0.0%,0.018,2.4%,-3.0%,0.041,,,-5.7%,11.8%,-7.0%,3.8%,1970,,,,,,,,,
4,Opponent,82.0,19905,,,,,,,,,,,,9726,1970,,,,,,,,,
5,Opponent/G,,242.7,,,,,,,,,,,,118.6,1970,,,,,,,,,
6,Lg Rank,,1,,,,,,,,,,,,10,1970,,,,,,,,,
7,Year/Year,,0.8%,,,,,,,,,,,,5.8%,1970,,,,,,,,,
0,Team,82.0,19805,3684,8331,0.442,1886,2500,0.754,,,4550,1772,1966,9254,1971,,,,,,,,,
1,Team/G,,241.5,44.9,101.6,0.442,23.0,30.5,0.754,,,55.5,21.6,24.0,112.9,1971,,,,,,,,,
2,Lg Rank,,3,6,5,11.0,12,13,6.0,,,4,16,8,11,1971,,,,,,,,,
3,Year/Year,,-0.5%,-6.1%,-2.8%,-0.016,-8.0%,-5.7%,-0.019,,,-2.8%,-5.8%,3.7%,-6.5%,1971,,,,,,,,,
4,Opponent,82.0,19805,3640,8164,0.446,1926,2584,0.745,,,4435,1862,1897,9206,1971,,,,,,,,,
5,Opponent/G,,241.5,44.4,99.6,0.446,23.5,31.5,0.745,,,54.1,22.7,23.1,112.3,1971,,,,,,,,,
6,Lg Rank,,3,12,11,5.0,6,7,11.0,,,12,2,14,9,1971,,,,,,,,,
7,Year/Year,,-0.5%,,,,,,,,,,,,-5.3%,1971,,,,,,,,,
0,Team,82.0,19780,3490,7748,0.45,1804,2378,0.759,,,4159,1816,1858,8784,1972,,,,,,,,,
1,Team/G,,241.2,42.6,94.5,0.45,22.0,29.0,0.759,,,50.7,22.1,22.7,107.1,1972,,,,,,,,,
2,Lg Rank,,6,9,10,12.0,13,14,5.0,,,9,14,4,14,1972,,,,,,,,,
3,Year/Year,,-0.1%,-5.3%,-7.0%,0.008,-4.3%,-4.9%,0.004,,,-8.6%,2.5%,-5.5%,-5.1%,1972,,,,,,,,,
4,Opponent,82.0,19780,3545,7842,0.452,1790,2412,0.742,,,4244,1844,1869,8880,1972,,,,,,,,,
5,Opponent/G,,241.2,43.2,95.6,0.452,21.8,29.4,0.742,,,51.8,22.5,22.8,108.3,1972,,,,,,,,,
6,Lg Rank,,6,8,8,8.0,5,5,5.0,,,11,4,14,5,1972,,,,,,,,,
7,Year/Year,,-0.1%,-2.6%,-3.9%,0.006,-7.1%,-6.7%,-0.003,,,-4.3%,-1.0%,-1.5%,-3.5%,1972,,,,,,,,,
0,Team,82.0,19730,3656,7883,0.464,1294,1742,0.743,,,4205,2051,1672,8606,1973,,,,,,,,,
1,Team/G,,240.6,44.6,96.1,0.464,15.8,21.2,0.743,,,51.3,25.0,20.4,105.0,1973,,,,,,,,,
2,Lg Rank,,10,8,9,5.0,16,15,13.0,,,5,10,2,12,1973,,,,,,,,,
3,Year/Year,,-0.3%,4.8%,1.7%,0.013,-28.3%,-26.7%,-0.016,,,1.1%,12.9%,-10.0%,-2.0%,1973,,,,,,,,,
4,Opponent,82.0,19730,3531,8010,0.441,1269,1702,0.746,,,4226,1852,1682,8331,1973,,,,,,,,,
5,Opponent/G,,240.6,43.1,97.7,0.441,15.5,20.8,0.746,,,51.5,22.6,20.5,101.6,1973,,,,,,,,,
6,Lg Rank,,10,6,8,5.0,2,2,2.0,,,12,2,16,4,1973,,,,,,,,,
7,Year/Year,,-0.3%,-0.4%,2.1%,-0.011,-29.1%,-29.4%,0.003,,,-0.4%,0.4%,-10.0%,-6.2%,1973,,,,,,,,,
0,Team,82.0,19730,3480,7886,0.441,1393,1869,0.745,1286.0,2887.0,4173,1770,1746,8353,1974,703.0,441.0,1568.0,,,,,,
1,Team/G,,240.6,42.4,96.2,0.441,17.0,22.8,0.745,15.7,35.2,50.9,21.6,21.3,101.9,1974,8.6,5.4,19.1,,,,,,
2,Lg Rank,,13,11,4,15.0,14,14,17.0,5.0,4.0,4,16,1,14,1974,11.0,5.0,3.0,,,,,,
3,Year/Year,,0.0%,-4.8%,0.0%,-0.022,7.7%,7.3%,0.002,,,-0.8%,-13.7%,4.4%,-2.9%,1974,,,,,,,,,
